,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
11799,1703199720000.0,0.0,0.0,1.6,40.758250000000004,0.0,0.0,40.437,0.9993191220558681,1.0,2214.4505509549895,1000.0,2213.9365509549893,1000.0,0.029448930332572384,0.0
11800,1703203320000.0,0.0,0.0,1.6,40.758250000000004,0.0,0.0,40.3495,0.9993191220558681,1.0,2214.4505509549895,1000.0,2213.7965509549895,1000.0,0.029448930332572384,0.0
11801,1703206920000.0,0.0,0.0,1.6,40.758250000000004,0.0,0.0,40.952,0.9993191220558681,1.0,2214.4505509549895,1000.0,2214.7605509549894,1000.0,0.029448930332572384,0.0
11802,1703210520000.0,0.0,0.0,0.1,42.361,0.0,0.0,42.032,0.9993191220558681,1.0,2215.6622067199896,1000.0,2215.6293067199895,1000.0,0.0019118889093978884,0.0
11803,1703214120000.0,0.0,0.0,0.8,41.0414375,0.0,0.0,40.6615,0.9993191220558681,1.0,2215.6593470149896,1000.0,2215.3553970149896,1000.0,0.014818681420604626,0.0
11804,1703217720000.0,0.0,0.0,3.1,40.17538709677419,0.0,0.0,39.825,0.9993191220558681,1.0,2215.6501759599896,1000.0,2214.5639759599894,1000.0,0.05621090429857146,0.0
11805,1703221320000.0,0.0,0.0,3.1,40.17538709677419,0.0,0.0,40.4575,0.9993191220558681,1.0,2215.6501759599896,1000.0,2216.5247259599896,1000.0,0.05621090429857146,0.0
11806,1703224920000.0,0.0,0.0,3.1,40.17538709677419,0.0,0.0,39.645,0.9993191220558681,1.0,2215.6501759599896,1000.0,2214.0059759599894,1000.0,0.05621090429857146,0.0
11807,1703228520000.0,0.0,0.0,6.0,39.735125,0.0,0.0,39.367,0.9993191220558681,1.0,2215.6387892549897,1000.0,2213.43003925499,1000.0,0.10760361804288766,0.0
11808,1703232120000.0,0.0,0.0,6.0,39.735125,0.0,0.0,39.6605,0.9993191220558681,1.0,2215.6387892549897,1000.0,2215.19103925499,1000.0,0.10760361804288766,0.0
11809,1703235720000.0,0.0,0.0,6.0,39.735125,0.0,0.0,39.19,0.9993191220558681,1.0,2215.6387892549897,1000.0,2212.3680392549895,1000.0,0.10760361804288766,0.0
11810,1703239320000.0,0.0,0.0,11.7,39.263717948717954,0.0,0.0,39.0725,0.9993191220558681,1.0,2215.6166917799897,1000.0,2213.3794417799895,1000.0,0.2073397901831735,0.0
11811,1703242920000.0,0.0,0.0,11.7,39.263717948717954,0.0,0.0,39.071,0.9993191220558681,1.0,2215.6166917799897,1000.0,2213.3618917799895,1000.0,0.2073397901831735,0.0
