,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
44,953,DOGE,0.25006799999999985,-0.002011536,408.67057279279993,0.0,408.67057279279993,1.0,-2748.0,0.00366,0.0,0.003569,close_grid_long
45,960,DOGE,0.0,-0.00196272,408.66861007279994,0.0,408.66861007279994,1.0,2726.0,0.0036,2726.0,0.0036,entry_initial_normal_long
46,1100,DOGE,0.0,-0.0035233380000000004,408.66508673479996,0.0,408.66508673479996,1.0,5019.0,0.00351,7745.0,0.003541677211103938,entry_grid_normal_long
47,1113,DOGE,0.040923153001937024,-0.00349107,408.7025188178019,0.0,408.7025188178019,1.0,-4917.0,0.00355,2828.0,0.003541677211103938,close_trailing_long
48,1143,DOGE,0.0,-0.00359214,408.69892667780186,0.0,408.69892667780186,1.0,5206.0,0.00345,8034.0,0.003482270743465514,entry_grid_normal_long
49,1152,DOGE,0.050173775948343866,-0.0036016487999999997,408.7454988049502,0.0,408.7454988049502,1.0,-5157.0,0.003492,2877.0,0.003482270743465514,close_trailing_long
50,1176,DOGE,0.2523970710497158,-0.002054178,408.99584169799994,0.0,408.99584169799994,1.0,-2877.0,0.00357,0.0,0.003482270743465514,close_grid_long
51,1177,DOGE,0.0,-0.0019642704,408.99387742759995,0.0,408.99387742759995,1.0,2748.0,0.003574,2748.0,0.003574,entry_initial_normal_long
52,1286,DOGE,0.23632800000000037,-0.002011536,409.2281938916,0.0,409.2281938916,1.0,-2748.0,0.00366,0.0,0.003574,close_grid_long
53,1298,DOGE,0.0,-0.0019652840000000003,409.2262286076,0.0,409.2262286076,1.0,2722.0,0.00361,2722.0,0.00361,entry_initial_normal_long
54,1355,DOGE,0.24498000000000064,-0.0020142800000000002,409.46919432759995,0.0,409.46919432759995,1.0,-2722.0,0.0037,0.0,0.00361,close_grid_long
55,1411,DOGE,0.0,-0.001966884,409.46722744359994,0.0,409.46722744359994,1.0,2687.0,0.00366,2687.0,0.00366,entry_initial_normal_long
56,1466,DOGE,0.0,-0.003532158,409.46369528559995,0.0,409.46369528559995,1.0,4947.0,0.00357,7634.0,0.0036016780193869526,entry_grid_normal_long
57,1479,DOGE,0.040336640031440246,-0.003499534,409.5005323916314,0.0,409.5005323916314,1.0,-4847.0,0.00361,2787.0,0.0036016780193869526,close_trailing_long
58,1720,DOGE,0.2461533599685634,-0.002056806,409.74462894559997,0.0,409.74462894559997,1.0,-2787.0,0.00369,0.0,0.0036016780193869526,close_grid_long
59,1730,DOGE,0.0,-0.001967616,409.74266132959997,0.0,409.74266132959997,1.0,2688.0,0.00366,2688.0,0.00366,entry_initial_normal_long
60,2084,DOGE,0.24191999999999947,-0.002016,409.9825653296,0.0,409.9825653296,1.0,-2688.0,0.00375,0.0,0.00366,close_grid_long
61,2173,DOGE,0.0,-0.001968694,409.98059663559997,0.0,409.98059663559997,1.0,2611.0,0.00377,2611.0,0.00377,entry_initial_normal_long
62,2344,DOGE,0.23499000000000062,-0.002015692,410.21357094359996,0.0,410.21357094359996,1.0,-2611.0,0.00386,0.0,0.00377,close_grid_long
63,2346,DOGE,0.0,-0.001970532,410.2116004116,0.0,410.2116004116,1.0,2586.0,0.00381,2586.0,0.00381,entry_initial_normal_long
64,2888,DOGE,0.0,-0.0035421840000000003,410.20805822759996,0.0,410.20805822759996,1.0,4761.0,0.00372,7347.0,0.0037516782360147004,entry_grid_normal_long
65,3146,DOGE,0.0,-0.009901032,410.19815719559995,0.0,410.19815719559995,1.0,13526.0,0.00366,20873.0,0.0036922694389881668,entry_grid_normal_long
66,3151,DOGE,0.0,-0.02766744,410.17048975559993,0.0,410.17048975559993,1.0,38427.0,0.0036,59300.0,0.0036324779089376056,entry_grid_normal_long
67,3154,DOGE,0.17190986913996226,-0.016637712,410.3257619127399,0.0,410.3257619127399,1.0,-22854.0,0.00364,36446.0,0.0036324779089376056,close_trailing_long
68,3159,DOGE,0.17197756795952382,-0.016644264000000002,410.48109521669943,0.0,410.48109521669943,1.0,-22863.0,0.00364,13583.0,0.0036324779089376056,close_trailing_long
69,3161,DOGE,0.08133637065767095,-0.007871864,410.5545597233571,0.0,410.5545597233571,1.0,-10813.0,0.00364,2770.0,0.0036324779089376056,close_trailing_long
70,3848,DOGE,0.0,-0.0036108000000000004,410.5509489233571,0.0,410.5509489233571,1.0,5100.0,0.00354,7870.0,0.0035725494037810884,entry_grid_normal_long
71,3895,DOGE,0.0,-0.010084344,410.5408645793571,0.0,410.5408645793571,1.0,14489.0,0.00348,22359.0,0.003512575866888374,entry_grid_normal_long
