,balance,equity,balance_btc,equity_btc
303840,10217.159401740802,10219.281661740803,0.0,2.122260000000019
303900,10222.668933110803,10220.261943740803,0.0,3.1025420000000175
303960,10222.668933110803,10220.973693110804,0.0,-1.69524
304020,10222.668933110803,10221.626859110802,0.0,-1.0420740000000042
304080,10222.668933110803,10220.300583110802,0.0,-2.3683499999999813
304140,10228.203760724802,10222.918233110802,0.0,0.24930000000000713
304200,10233.786250754802,10231.533994724801,0.0,3.330234000000005
304260,10233.7370959388,10233.786250754802,0.0,0.0
304320,10233.7370959388,10235.8064119388,0.0,2.069315999999999
304380,10239.312615962801,10236.388559938801,0.0,2.651464000000004
304440,10239.312615962801,10239.312615962801,0.0,0.0
304500,10250.362105972801,10239.312615962801,0.0,0.0
304560,10250.362105972801,10250.362105972801,0.0,0.0
304620,10255.870868362803,10250.362105972801,0.0,0.0
304680,10255.870868362803,10255.870868362803,0.0,0.0
304740,10255.870868362803,10255.870868362803,0.0,0.0
304800,10261.399707210803,10255.870868362803,0.0,0.0
304860,10302.993848151402,10261.399707210803,0.0,0.0
304920,10302.944369419401,10302.993848151402,0.0,0.0
304980,10425.896328872803,10296.818327119401,0.0,-6.037079999999924
305040,10431.512421785803,10426.464462872802,0.0,0.568134000000005
305100,10442.728092845804,10429.648941785803,0.0,-1.8634800000000034
305160,10448.424065309804,10440.368224845804,0.0,-2.3598680000000036
305220,10448.373881273805,10448.424065309804,0.0,0.0
305280,10454.034974753804,10449.767882273805,0.0,1.3940009999999743
305340,10453.984769009803,10454.034974753804,0.0,0.0
305400,10462.483977770402,10453.988957009804,0.0,0.004188000000004188
305460,10462.483977770402,10466.129983770403,0.0,3.6460060000000154
305520,10468.117127054402,10465.615105770403,0.0,3.1311280000000234
305580,10473.825860014402,10468.241447054403,0.0,0.12432000000000931
305640,10479.464098014403,10473.825860014402,0.0,0.0
305700,10479.464098014403,10479.464098014403,0.0,0.0
305760,10479.464098014403,10479.464098014403,0.0,0.0
305820,10479.464098014403,10479.464098014403,0.0,0.0
305880,10479.413774286402,10479.464098014403,0.0,0.0
305940,10485.060990822401,10485.060990822401,0.0,0.0
306000,10485.060990822401,10485.060990822401,0.0,0.0
306060,10485.060990822401,10485.060990822401,0.0,0.0
306120,10485.060990822401,10485.060990822401,0.0,0.0
306180,10742.63634462868,10483.577137890401,0.0,-1.4335019999999667
306240,10827.748852210403,10769.594504122202,0.0,26.958159493522224
306300,10857.661290219805,10827.221556210403,0.0,-0.5272959999999571
306360,10856.701076166273,10844.701452301804,0.0,-12.697547999999815
306420,11321.755604908605,10221.777845733804,0.0,-634.9232304324682
306480,11335.591303101006,11323.607717852605,0.0,0.9828466994935324
306540,11336.449145076263,11332.233251101006,0.0,-3.3580520000000496
306600,11353.592638689208,11335.681019657006,0.0,-0.768125419257629
306660,11362.529717531608,11352.454438689208,0.0,-1.1382000000000325
306720,11368.620045071608,11362.529717531608,0.0,0.0
306780,11368.565447751607,11368.620045071608,0.0,0.0
306840,11380.741183967606,11373.330707751607,0.0,4.765260000000049
306900,11387.722001941607,11384.160746967606,0.0,3.4195630000000046
306960,11480.93038188081,11386.358249941608,0.0,-1.3637519999999903
307020,11480.93038188081,11480.93038188081,0.0,0.0
307080,11480.93038188081,11480.93038188081,0.0,0.0
307140,11487.06696776081,11480.93038188081,0.0,0.0
307200,11495.268102888209,11487.06696776081,0.0,0.0
307260,11504.373038987806,11492.995722888209,0.0,-2.2723800000000267
307320,11517.603112211407,11499.306690987805,0.0,-5.066347999999921
307380,11523.829173931406,11518.017352211407,0.0,0.4142399999999831
307440,11524.556881031667,11523.829173931406,0.0,0.0
307500,11535.34078584696,11523.696330647406,0.0,-0.8605503842606865
307560,11564.29519783681,11521.767225778007,0.0,-13.573560068952814
307620,11572.26375260081,11560.806075836808,0.0,-3.4891220000000343
307680,11572.26375260081,11572.58861660081,0.0,0.32486399999998916
307740,11572.26375260081,11572.41581660081,0.0,0.1520640000000082
307800,11578.44123227681,11578.496842136808,0.0,0.0
307860,11578.44123227681,11581.50790227681,0.0,3.0666699999999865
307920,11578.44123227681,11577.29720727681,0.0,-1.1440250000000067
307980,11579.235805540227,11578.676867276808,0.0,0.2356349999999987
308040,11579.235805540227,11578.73404741881,0.0,-0.5017581214182553
308100,11588.999054420408,11575.623266418808,0.0,-3.612539121418223
308160,11589.793623695528,11589.370796420408,0.0,0.3717419999999824
308220,11596.139354876208,11591.20049785241,0.0,1.4068741568804883
308280,11596.139354876208,11593.982374876208,0.0,-2.1569799999999844
